	Close	ATR	Momentum	CCI	MACD	EMA	Times
37	208.81	4.299	-4.0	118.8	2.429	203.3	2010-08-20
38	208.27	4.189	-0.54	86.07	2.407	203.7	2010-08-23
39	209.16	4.139	0.89	82.7	2.433	204.0	2010-08-24
40	208.19	4.21	-0.97	77.09	2.349	204.3	2010-08-25
41	206.32	4.192	-1.87	39.5	2.107	204.4	2010-08-26
42	204.88	4.025	-1.44	8.7	1.778	204.4	2010-08-27
43	205.55	3.834	0.94	-5.325	1.303	204.5	2010-08-31
44	207.37	3.76	1.82	18.3	1.295	204.7	2010-09-01
45	209.16	3.809	1.79	64.97	1.417	205.0	2010-09-02
46	211.49	3.756	2.33	105.0	1.682	205.4	2010-09-03
47	209.51	3.641	-1.52	65.91	1.811	206.0	2010-09-07
48	213.16	3.742	3.65	125.2	2.063	206.5	2010-09-08
49	216.0	3.808	2.84	221.7	2.464	207.1	2010-09-09
50	216.39	3.745	0.39	210.8	2.781	207.7	2010-09-13
51	216.47	3.927	0.08	168.3	3.004	208.3	2010-09-14
52	215.65	3.921	-0.82	134.2	3.079	208.7	2010-09-15
53	215.92	3.907	0.27	122.1	3.125	209.2	2010-09-16
54	219.27	3.992	3.35	139.1	3.392	209.9	2010-09-17
55	227.58	4.42	8.31	209.0	4.225	211.0	2010-09-20
56	229.18	4.696	1.6	204.9	4.958	212.2	2010-09-21
57	239.87	5.73	-4.74	176.1	8.278	218.2	2010-09-27
58	237.89	5.61	-1.98	122.6	8.451	219.5	2010-09-28
59	237.65	5.492	-0.24	103.1	8.471	220.7	2010-09-29
60	239.44	5.386	1.79	96.45	8.533	221.9	2010-09-30
61	229.99	6.256	-0.67	-3.63	5.677	226.1	2010-10-08
62	228.98	6.145	-1.01	-14.23	4.905	226.3	2010-10-11
63	226.46	5.984	-2.52	-49.86	4.043	226.3	2010-10-12
64	235.2	6.27	8.74	-2.094	4.019	226.9	2010-10-13
65	232.21	6.278	-2.99	-4.04	3.716	227.3	2010-10-14
66	231.74	6.371	-0.47	-11.01	3.398	227.5	2010-10-15
67	231.32	6.41	-0.42	-71.34	3.077	227.8	2010-10-18
68	230.31	6.463	-1.01	-74.04	2.71	227.9	2010-10-19
69	228.36	6.407	-1.95	-90.48	2.236	228.0	2010-10-20
70	237.38	6.63	9.02	-2.105	2.559	228.6	2010-10-21
71	234.43	6.657	-2.95	24.78	2.547	229.0	2010-10-22
72	237.61	6.548	3.18	69.74	2.762	229.5	2010-10-25
73	232.37	6.618	-5.24	12.74	2.482	229.7	2010-10-26
74	228.05	6.665	-4.32	-86.24	1.889	229.6	2010-10-27
75	227.31	6.758	-0.74	-96.18	1.344	229.4	2010-10-28
76	228.63	6.549	1.32	-110.9	1.007	229.4	2010-10-29
77	231.34	6.463	2.71	-9.635	0.9476	229.5	2010-11-01
78	230.72	6.282	-0.62	-22.76	0.8409	229.6	2010-11-02
79	231.7	5.97	0.98	4.87	0.8258	229.7	2010-11-03
80	234.41	5.908	2.71	75.99	1.021	230.0	2010-11-04
81	240.14	6.044	5.73	201.4	1.619	230.7	2010-11-08
82	250.47	6.451	10.33	290.6	2.893	232.0	2010-11-09
83	246.7	6.391	-3.77	240.4	3.558	232.9	2010-11-10
84	242.73	6.482	-3.97	142.4	3.722	233.5	2010-11-11
85	236.84	6.501	-5.89	50.13	3.337	233.8	2010-11-12
86	237.78	6.427	0.94	27.07	3.073	234.0	2010-11-15
87	234.05	6.481	-3.73	-0.3029	2.534	234.0	2010-11-16
88	234.41	6.476	0.36	-12.7	2.111	234.0	2010-11-18
89	234.6	6.456	0.19	-3.537	1.771	234.1	2010-11-19
90	235.11	6.275	0.51	-9.527	1.525	234.1	2010-11-22
91	235.9	6.192	0.79	-15.28	1.378	234.3	2010-11-23
92	234.96	6.013	-0.94	-5.467	1.172	234.3	2010-11-24
93	230.44	6.037	-2.24	-75.65	0.348	234.0	2010-11-26
94	233.97	5.968	3.53	-50.46	0.2595	234.0	2010-11-29
95	234.76	5.907	0.79	-42.44	0.2502	234.0	2010-11-30
96	233.43	5.699	-1.33	-51.17	0.134	234.0	2010-12-01
97	232.6	5.558	-0.83	-62.72	-0.02485	233.9	2010-12-02
98	235.15	5.682	2.55	-11.08	0.05444	234.0	2010-12-03
99	235.31	5.543	0.16	-18.19	0.1287	234.1	2010-12-06
100	232.25	5.54	-3.06	-66.08	-0.05869	233.9	2010-12-07
101	232.68	5.368	0.43	-97.12	-0.1705	233.9	2010-12-08
102	227.81	5.846	-4.87	-226.6	-0.6447	233.5	2010-12-09
103	232.05	6.045	4.24	-137.7	-0.6706	233.4	2010-12-10
104	235.78	5.99	3.73	37.39	-0.3857	233.5	2010-12-13
105	233.97	5.786	-1.81	29.52	-0.3025	233.6	2010-12-14
106	234.29	5.637	0.32	23.33	-0.2084	233.6	2010-12-15
107	231.23	5.577	-3.06	-54.41	-0.3763	233.5	2010-12-16
108	231.46	5.487	0.23	-116.5	-0.4853	233.3	2010-12-20
109	230.4	5.334	-1.06	-101.8	-0.6497	233.1	2010-12-21
110	230.4	5.087	0.0	-83.97	-0.7711	233.0	2010-12-22
111	229.03	4.974	-1.37	-103.8	-0.9667	232.7	2010-12-23
112	239.2	4.894	8.05	139.1	-0.09672	233.0	2010-12-29
113	242.77	4.881	3.57	240.9	0.6968	233.6	2010-12-30
114	245.28	4.995	2.51	243.5	1.511	234.4	2010-12-31
115	252.16	5.547	6.25	250.7	3.181	236.2	2011-01-04
116	255.77	5.721	3.61	203.0	4.215	237.5	2011-01-05
117	251.37	6.168	-4.4	143.4	4.627	238.4	2011-01-06
118	245.25	6.436	-6.12	87.21	4.408	238.8	2011-01-07
