	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	7.26	0.2181	-0.27	37.88	-0.05737	7.439	2010-06-29
1	7.25	0.2146	-0.01	-24.84	-0.06099	7.426	2010-06-30
2	7.25	0.2114	0.0	4.697	-0.06314	7.415	2010-07-01
3	7.31	0.2149	0.06	-2.875	-0.05931	7.408	2010-07-02
4	7.43	0.2136	0.19	58.67	-0.04686	7.4	2010-07-06
5	7.45	0.2055	0.02	80.41	-0.03349	7.403	2010-07-07
6	7.48	0.2036	0.03	116.2	-0.02023	7.408	2010-07-08
7	7.72	0.2191	0.24	168.1	0.009532	7.428	2010-07-09
8	7.88	0.222	0.16	224.1	0.0455	7.457	2010-07-12
9	7.78	0.2219	-0.1	167.2	0.06519	7.478	2010-07-13
10	7.84	0.221	0.06	180.4	0.08466	7.501	2010-07-14
11	7.68	0.2252	-0.16	119.9	0.08619	7.513	2010-07-15
12	7.73	0.2241	0.05	76.87	0.09039	7.527	2010-07-16
13	7.93	0.2303	0.2	116.9	0.1086	7.553	2010-07-19
14	7.93	0.2274	0.0	138.5	0.1216	7.577	2010-07-20
15	7.9	0.2183	-0.03	107.1	0.1281	7.598	2010-07-21
16	8.01	0.2149	0.11	110.7	0.1404	7.625	2010-07-22
17	8.08	0.2131	0.07	129.3	0.1541	7.654	2010-07-23
18	8.07	0.2086	-0.01	105.1	0.1622	7.681	2010-07-26
19	7.99	0.203	-0.08	82.44	0.1604	7.701	2010-07-27
20	8.19	0.2085	0.2	108.2	0.1731	7.732	2010-07-28
21	8.23	0.2043	0.04	130.7	0.1842	7.764	2010-07-29
22	8.22	0.2011	-0.01	116.4	0.1901	7.794	2010-07-30
23	8.37	0.2046	0.15	140.4	0.2044	7.831	2010-08-02
24	8.15	0.2114	-0.22	107.4	0.1958	7.852	2010-08-03
25	8.11	0.2128	-0.04	52.48	0.1837	7.868	2010-08-04
26	7.94	0.2133	-0.17	6.623	0.1585	7.873	2010-08-05
27	8.03	0.2138	0.09	-8.257	0.1441	7.883	2010-08-06
28	8.1	0.2106	0.07	31.54	0.1368	7.897	2010-08-09
29	7.85	0.2206	-0.25	-29.57	0.1096	7.894	2010-08-10
30	7.86	0.212	0.01	-82.55	0.08778	7.892	2010-08-11
31	7.68	0.2118	-0.18	-149.8	0.05535	7.878	2010-08-12
32	7.77	0.2131	0.09	-164.9	0.03649	7.871	2010-08-13
33	7.91	0.2186	0.14	-88.82	0.03247	7.874	2010-08-16
34	7.93	0.2123	0.02	-57.95	0.03055	7.877	2010-08-17
35	7.86	0.2128	-0.07	-51.08	0.0231	7.876	2010-08-18
36	8.03	0.2169	0.17	1.044	0.03057	7.886	2010-08-19
37	7.98	0.2157	-0.05	8.322	0.03209	7.892	2010-08-20
38	8.04	0.2146	0.06	29.28	0.03769	7.902	2010-08-23
39	7.97	0.2143	-0.07	-16.56	0.03607	7.906	2010-08-24
40	7.73	0.2182	-0.24	-105.3	0.01525	7.895	2010-08-25
41	7.69	0.2127	-0.04	-134.2	-0.004434	7.882	2010-08-26
42	7.69	0.206	0.0	-121.5	-0.0198	7.869	2010-08-27
43	7.67	0.1989	-0.11	-106.6	-0.03657	7.851	2010-08-31
44	7.69	0.2026	0.02	-87.87	-0.04406	7.841	2010-09-01
45	7.73	0.1988	0.04	-66.29	-0.04624	7.833	2010-09-02
46	7.72	0.1968	-0.01	-82.06	-0.04821	7.826	2010-09-03
47	7.84	0.1938	-0.02	23.87	-0.03124	7.829	2010-09-07
48	7.68	0.1936	-0.16	-68.09	-0.03831	7.819	2010-09-08
49	7.49	0.1962	-0.19	-154.3	-0.05857	7.798	2010-09-09
50	7.51	0.1913	-0.01	-146.0	-0.08141	7.763	2010-09-13
51	7.56	0.187	0.05	-95.38	-0.08435	7.75	2010-09-14
52	7.43	0.1879	-0.13	-140.9	-0.09606	7.729	2010-09-15
53	7.25	0.1945	-0.18	-199.5	-0.1185	7.698	2010-09-16
54	7.28	0.1906	0.03	-172.2	-0.1323	7.671	2010-09-17
