	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	85.52	1.923	1.41	130.4	2.486	79.39	2010-08-16
1	86.74	1.936	1.22	145.9	2.652	79.86	2010-08-17
2	85.48	1.962	-1.26	119.6	2.651	80.23	2010-08-18
3	84.6	1.958	-0.88	83.38	2.551	80.51	2010-08-19
4	83.27	1.929	-1.33	42.95	2.336	80.69	2010-08-20
5	84.3	1.908	1.03	44.45	2.224	80.92	2010-08-23
6	84.69	1.927	0.39	61.9	2.142	81.16	2010-08-24
7	83.78	1.881	-0.91	44.55	1.98	81.33	2010-08-25
8	84.1	1.829	0.32	26.37	1.857	81.51	2010-08-26
9	84.49	1.779	0.39	35.69	1.77	81.7	2010-08-27
10	89.06	1.99	-0.33	230.3	2.26	82.64	2010-08-31
11	87.74	2.06	-1.32	162.8	2.276	82.97	2010-09-01
12	89.48	2.12	1.74	173.0	2.401	83.39	2010-09-02
13	90.95	2.193	1.47	182.7	2.589	83.88	2010-09-03
14	92.43	2.285	-0.81	163.6	3.027	85.0	2010-09-07
15	93.11	2.222	0.68	137.7	3.155	85.52	2010-09-08
16	93.34	2.187	0.23	129.9	3.237	86.02	2010-09-09
17	94.4	2.232	-0.39	124.9	3.423	87.09	2010-09-13
18	93.56	2.257	-0.84	88.98	3.351	87.51	2010-09-14
19	90.86	2.318	-2.7	45.25	3.04	87.73	2010-09-15
20	89.12	2.439	-1.74	3.609	2.624	87.82	2010-09-16
21	90.5	2.542	1.38	10.57	2.377	87.99	2010-09-17
22	92.09	2.527	1.59	39.59	2.284	88.25	2010-09-20
23	92.89	2.461	0.8	52.12	2.249	88.55	2010-09-21
24	94.42	2.433	1.53	74.73	2.318	88.93	2010-09-27
25	95.52	2.386	1.1	104.6	2.433	89.36	2010-09-28
26	93.49	2.397	-2.03	77.33	2.334	89.62	2010-09-29
27	94.37	2.354	0.88	60.71	2.299	89.93	2010-09-30
28	97.05	2.457	2.68	150.7	2.46	90.39	2010-10-08
29	93.85	2.698	-3.2	91.27	2.303	90.61	2010-10-11
30	93.18	2.733	-0.67	6.698	2.1	90.78	2010-10-12
31	90.05	2.807	-3.13	-119.2	1.667	90.73	2010-10-13
32	88.61	2.775	-1.44	-191.0	1.194	90.59	2010-10-14
33	89.48	2.764	0.87	-116.3	0.8797	90.52	2010-10-15
34	90.84	2.98	1.36	-94.85	0.7316	90.54	2010-10-18
35	91.32	2.963	0.48	-51.91	0.6456	90.59	2010-10-19
36	93.63	3.103	2.31	2.469	0.7551	90.79	2010-10-20
37	93.66	3.051	0.03	51.33	0.8346	90.97	2010-10-21
38	94.02	3.03	0.36	69.62	0.9162	91.17	2010-10-22
39	96.76	3.041	2.74	112.2	1.188	91.53	2010-10-25
40	94.53	3.023	-2.23	73.94	1.21	91.72	2010-10-26
41	94.04	2.923	-0.49	31.31	1.174	91.87	2010-10-27
42	93.42	2.777	-0.62	15.0	1.083	91.97	2010-10-28
43	91.27	2.89	-2.15	-53.67	0.828	91.93	2010-10-29
44	91.59	2.791	0.32	-54.97	0.6442	91.91	2010-11-01
45	90.98	2.708	-0.61	-61.37	0.4442	91.85	2010-11-02
46	91.36	2.681	0.38	-44.89	0.3128	91.82	2010-11-03
47	92.31	2.599	0.95	-23.0	0.282	91.85	2010-11-04
48	91.44	2.451	-0.27	-46.29	0.1241	91.81	2010-11-08
49	92.76	2.43	1.32	8.409	0.1631	91.87	2010-11-09
50	100.52	2.919	7.76	225.7	0.8108	92.43	2010-11-10
51	98.39	3.025	-2.13	202.4	1.139	92.82	2010-11-11
52	99.29	3.31	0.9	210.6	1.455	93.23	2010-11-12
53	102.74	3.492	3.45	217.8	1.961	93.85	2010-11-15
54	99.1	3.702	-3.64	122.4	2.045	94.19	2010-11-16
55	94.79	3.928	2.51	-9.644	1.333	94.11	2010-11-18
56	97.97	3.907	3.18	48.5	1.407	94.36	2010-11-19
57	99.84	3.971	1.87	91.71	1.598	94.71	2010-11-22
58	105.73	4.206	5.89	137.7	2.199	95.42	2010-11-23
59	111.81	4.607	6.08	220.2	3.13	96.48	2010-11-24
60	115.91	4.7	2.39	193.2	4.756	98.76	2010-11-26
61	121.05	5.033	5.14	197.9	5.735	100.2	2010-11-29
62	114.55	5.317	-6.5	132.6	5.919	101.13	2010-11-30
63	113.2	5.256	-1.35	98.87	5.888	101.91	2010-12-01
64	110.83	5.203	-2.37	75.69	5.607	102.48	2010-12-02
65	111.74	5.063	0.91	64.85	5.396	103.08	2010-12-03
66	107.95	5.177	-3.79	33.6	4.866	103.39	2010-12-06
67	110.49	5.164	2.54	29.65	4.599	103.85	2010-12-07
68	109.72	5.026	-0.77	38.72	4.275	104.23	2010-12-08
69	109.21	4.846	-0.51	17.42	3.932	104.55	2010-12-09
70	110.58	4.815	1.37	20.21	3.728	104.94	2010-12-10
71	110.17	4.64	-0.41	18.3	3.493	105.28	2010-12-13
72	110.69	4.496	0.52	32.25	3.311	105.63	2010-12-14
73	112.25	4.391	1.56	42.05	3.254	106.05	2010-12-15
74	115.76	4.549	3.51	108.2	3.453	106.68	2010-12-16
75	110.39	4.628	-3.94	-14.53	3.104	107.38	2010-12-20
76	108.5	4.481	-1.89	-95.35	2.642	107.45	2010-12-21
77	106.8	4.341	-1.7	-128.4	2.114	107.41	2010-12-22
78	106.66	4.139	-0.14	-121.2	1.666	107.36	2010-12-23
79	104.03	3.97	1.53	-143.0	-0.1702	106.47	2010-12-29
80	101.75	3.939	-2.28	-141.8	-0.5542	106.17	2010-12-30
81	102.86	3.787	1.11	-118.9	-0.7602	105.96	2010-12-31
82	103.75	3.728	0.89	-82.62	-0.842	105.81	2011-01-04
83	101.28	3.661	-2.47	-100.6	-1.093	105.52	2011-01-05
84	100.81	3.606	-0.47	-103.8	-1.316	105.22	2011-01-06
85	100.52	3.477	-0.29	-98.96	-1.498	104.91	2011-01-07
86	97.49	3.483	-3.03	-117.1	-1.865	104.44	2011-01-10
87	97.07	3.406	-0.42	-127.2	-2.165	103.96	2011-01-11
88	97.58	3.305	0.51	-110.2	-2.335	103.55	2011-01-12
89	100.39	3.33	2.81	-72.2	-2.217	103.34	2011-01-13
90	100.78	3.249	0.39	-58.48	-2.068	103.18	2011-01-14
91	102.1	3.411	3.89	-43.95	-1.85	102.81	2011-01-18
92	102.25	3.266	0.15	8.621	-1.594	102.77	2011-01-19
93	100.71	3.262	-1.54	-13.61	-1.499	102.64	2011-01-20
94	98.37	3.263	-2.34	-68.6	-1.594	102.37	2011-01-21
95	95.93	3.328	-2.44	-155.4	-1.845	101.95	2011-01-24
96	95.47	3.186	-0.46	-168.8	-2.057	101.53	2011-01-25
97	96.79	3.097	0.51	-104.9	-2.131	100.91	2011-01-27
98	96.95	2.946	0.16	-83.27	-2.091	100.65	2011-01-28
99	99.55	3.052	2.6	-2.093	-1.829	100.58	2011-01-31
100	100.83	3.008	1.28	59.38	-1.5	100.6	2011-02-01
101	99.53	2.946	-1.3	37.33	-1.329	100.53	2011-02-09
102	103.49	3.083	3.96	126.9	-0.8641	100.72	2011-02-10
103	103.43	3.029	-0.06	175.5	-0.4947	100.9	2011-02-11
104	104.65	2.977	1.22	157.8	-0.1024	101.14	2011-02-14
105	103.6	2.924	-1.05	138.9	0.1223	101.3	2011-02-15
106	102.73	2.886	-0.87	84.95	0.2277	101.39	2011-02-16
107	101.38	2.794	-1.35	47.86	0.1999	101.39	2011-02-17
108	101.78	2.801	0.4	54.44	0.2077	101.41	2011-02-18
109	101.72	2.719	-0.9	47.48	0.2591	101.51	2011-02-22
110	102.22	2.619	0.5	43.37	0.2807	101.55	2011-02-23
111	101.87	2.525	-0.35	38.42	0.2666	101.57	2011-02-24
112	100.46	2.492	-1.41	10.02	0.14	101.5	2011-02-25
113	99.93	2.459	-0.53	-37.35	-0.003099	101.4	2011-02-28
114	99.91	2.368	-0.02	-35.43	-0.1167	101.3	2011-03-01
115	97.88	2.31	-1.23	-111.4	-0.4821	100.95	2011-03-03
116	98.4	2.236	0.52	-129.7	-0.6026	100.79	2011-03-04
117	99.21	2.143	0.81	-100.0	-0.6255	100.68	2011-03-07
118	98.84	2.102	-0.37	-101.9	-0.6659	100.57	2011-03-08
119	99.55	2.039	0.71	-75.67	-0.6333	100.5	2011-03-09
120	101.79	2.165	2.24	8.879	-0.4218	100.58	2011-03-10
121	100.69	2.15	-1.1	13.19	-0.3391	100.59	2011-03-11
122	102.28	2.193	1.59	42.53	-0.1436	100.7	2011-03-14
123	100.26	2.283	-2.02	-5.207	-0.1499	100.67	2011-03-15
124	101.7	2.268	1.44	43.86	-0.03827	100.74	2011-03-16
125	105.72	2.479	4.02	167.8	0.3703	101.06	2011-03-17
126	106.91	2.581	1.19	244.1	0.7811	101.44	2011-03-18
127	104.66	2.66	-2.25	150.3	0.9146	101.64	2011-03-21
128	103.89	2.661	-0.77	124.0	0.9473	101.79	2011-03-22
129	104.33	2.598	0.44	87.68	0.9973	101.95	2011-03-23
130	102.66	2.535	-1.67	62.64	0.8918	102.0	2011-03-24
131	102.59	2.456	-0.07	47.54	0.7935	102.04	2011-03-25
132	101.18	2.437	-1.41	6.391	0.5949	101.98	2011-03-28
133	100.08	2.375	-1.1	-39.28	0.3448	101.86	2011-03-29
134	99.95	2.284	-0.13	-51.35	0.1345	101.74	2011-03-30
135	100.59	2.293	0.64	-32.0	0.01928	101.66	2011-03-31
136	100.37	2.241	-0.22	-50.85	-0.08876	101.58	2011-04-01
137	98.98	2.209	-1.39	-94.63	-0.2833	101.41	2011-04-06
138	97.84	2.14	-1.14	-142.7	-0.5234	101.18	2011-04-07
139	98.24	2.055	0.4	-136.4	-0.6736	100.99	2011-04-08
